# A	  B	 C
2.27	200724	14
2.72	249514	19
3.18	293040	25
3.63	327775	23
4.08	354097	22
4.54	372043	21
4.99	381455	18
5.45	383460	18
5.90	378923	16
6.35	368827	14
6.81	354049	13
7.26	336271	12
7.71	316029	11
8.17	293902	10
8.62	271404	11
9.08	248177	12
9.53	225903	14
9.98	204282	16
10.44	183208	18
10.89	163728	22
11.34	145611	22
11.80	128795	23
12.25	113469	23
12.71	99324	23
13.16	86907	22
13.61	75712	21
14.07	65612	20
14.52	56856	19
14.97	49012	19
15.43	42027	19
15.88	36133	21
16.34	30819	23
16.79	26319	26
17.24	22316	28
17.70	18949	30
18.15	16081	32
18.61	13422	33
19.06	11305	35
19.51	9508	41
19.97	7955	55
20.42	6667	88
20.87	5166	155
21.33	3518	282
